代码,名称,样本量,日均成交额,日均涨跌幅
159595,中证A50ETF基金,315,272539489.28809524,0.07436507936507937
159919,沪深300ETF,1459,1224657439.7385159,0.07380952380952384
510330,沪深300ETF华夏,1459,907762533.0595238,0.07357142857142857
159925,沪深300ETF南方,1457,138561747.0432341,0.07345238095238098
159592,A50ETF基金,315,170020552.57641664,0.07345238095238098
512400,有色金属ETF,1459,176706637.7063492,0.07273809523809525
159901,深证100ETF,1458,143076568.57715476,0.06896825396825398
513400,道琼斯ETF,340,199439329.4563492,0.06638888888888887
159967,创业板成长ETF,1449,142507836.73256743,0.0654365079365079
512890,红利低波ETF,1458,323443742.49206346,0.06349206349206349
512200,房地产ETF,1459,299535202.03174603,0.06075396825396825
513390,纳指100ETF,525,109417105.06746031,0.05968253968253966
515100,红利低波100ETF,1214,115849068.3531746,0.05932539682539683
159659,纳斯达克100ETF,531,260802341.96213493,0.05869047619047616
159660,纳指100ETF,537,124667187.0506389,0.05805555555555555
159501,纳指ETF嘉实,498,248746120.49002385,0.057896825396825405
513110,纳斯达克100ETF,556,153831122.23412699,0.05753968253968251
513850,美国50ETF,394,169125063.7857143,0.05726190476190477
513100,纳指ETF,1458,889440884.5833334,0.057182539682539675
159941,纳指ETF,1459,1230787805.800655,0.05670634920634922
512010,医药ETF,1458,608358138.0912699,0.05591269841269842
513650,标普500ETF南方,545,126814632.57936507,0.05531746031746031
513520,日经ETF,1459,356450540.8611111,0.054960317460317466
512170,医疗ETF,1458,579455843.7936507,0.0536111111111111
159632,纳斯达克ETF,707,277631342.45270234,0.053531746031746
511380,可转债ETF,1272,3330537855.3690476,0.05218253968253968
513500,标普500ETF,1458,363013549.8095238,0.051269841269841264
513300,纳斯达克ETF,1131,559638348.2658731,0.04956349206349207
513880,日经225ETF,1459,130587209.81746031,0.0488095238095238
159655,标普ETF,654,214719356.25753573,0.046587301587301594
513080,法国CAC40ETF,1226,464185530.34126985,0.046388888888888896
516160,新能源ETF,1067,109941159.21825397,0.04369047619047621
513730,东南亚科技ETF,384,153662898.17460316,0.04250000000000001
511180,上证可转债ETF,1176,567947862.1666666,0.042460317460317455
515180,红利ETF易方达,1341,109337754.28968254,0.03777777777777778
515080,中证红利ETF,1336,209649990.1547619,0.03722222222222223
159766,旅游ETF,956,120099547.70701984,0.035714285714285726
510880,红利ETF,1459,466749308.0515873,0.028690476190476186
513360,教育ETF,981,284570205.0793651,0.028253968253968267
159865,养殖ETF,1050,108558717.42019841,0.023690476190476192
159928,消费ETF,1459,340682415.59680164,0.01432539682539682
511220,城投债ETF,1459,460157840.5277778,0.011904761904761904
159509,纳指科技ETF,461,1271376956.6796787,0.007380952380952365
159857,光伏ETF,1058,115366605.85932538,0.005793650793650783
515790,光伏ETF,1100,401500407.67460316,0.004523809523809547
159691,港股红利ETF,533,180200684.1507262,0.0033730158730158645
159980,有色ETF,1339,106758061.38532142,-0.004246031746031745
159611,电力ETF,844,144075093.4397738,-0.0072619047619047515
513350,标普油气ETF,386,248962881.98809522,-0.013333333333333345
159518,标普油气ETF,394,317721927.3264167,-0.014841269841269841
512690,酒ETF,1458,675007064.8531746,-0.021428571428571408
159985,豆粕ETF,1352,364734904.60642856,-0.043134920634920644
515220,煤炭ETF,1297,185770106.40873015,-0.06900793650793652
